File	Rev	ID	Old	New	Churn	Date
talk\text\crw_shop.lxtxt	49	shop_minami_yami_004;talk_text	……金が足りねえよ　ボウズ	……冷やかしなら　とっとと消えろ	16	2025-03-30
talk\text\crw_shop.lxtxt	49	shop_minami_yami_005;talk_text	……持っていけ	……その荷物じゃ　持てねえだろ	15	2025-03-30
talk\text\crw_shop.lxtxt	76	shop_minami_yami_006;talk_text	……金が足りねえよ　ボウズ	……金が足りねえよ	13	2025-04-04
talk\text\crw_shop.lxtxt	119	shop_minami_yami_008;talk_text	大東だ	対話	3	2025-04-09
talk\text\crw_shop.lxtxt	119	shop_minami_yami_009;talk_text	吉田だ	礼賛	3	2025-04-09
talk\text\crw_shop.lxtxt	119	shop_minami_yami_010;talk_text	氷室だ	帝国	3	2025-04-09
talk\text\crw_shop.lxtxt	119	shop_minami_yami_011;talk_text	高木だ	反乱	3	2025-04-09
talk\text\crw_shop.lxtxt	119	shop_minami_yami_012;talk_text	太田だ	幸福	3	2025-04-09
talk\text\crw_shop.lxtxt	119	shop_minami_yami_013;talk_text	吉岡だ	陰謀	3	2025-04-09
talk\text\crw_shop.lxtxt	119	shop_minami_yami_014;talk_text	沖田だ	経済	3	2025-04-09
talk\text\crw_shop.lxtxt	121	shop_kokura_daito_028;talk_text	…………	"（…………　反応が無いな。

　この合言葉じゃなかったか？）"	30	2025-04-09
talk\text\crw_shop.lxtxt	150	shop_kokura_udon_001;talk_text	いらっしゃい！	【翻訳不要】いらっしゃい！	13	2025-04-10
talk\text\crw_shop.lxtxt	150	shop_kokura_tabako_001;talk_text	いらっしゃい！	【翻訳不要】いらっしゃい！	13	2025-04-10
talk\text\crw_shop.lxtxt	150	shop_kokura_kusuri_001;talk_text	いらっしゃい！	【翻訳不要】いらっしゃい！	13	2025-04-10
talk\text\crw_shop.lxtxt	150	shop_minami_sake_001;talk_text	らっしゃい！	【翻訳不要】らっしゃい！	12	2025-04-10
talk\text\crw_shop.lxtxt	152	shop_kokura_udon_001;talk_text	【翻訳不要】いらっしゃい！	いらっしゃい！	13	2025-04-10
talk\text\crw_shop.lxtxt	152	shop_kokura_tabako_001;talk_text	【翻訳不要】いらっしゃい！	いらっしゃい！	13	2025-04-10
talk\text\crw_shop.lxtxt	152	shop_kokura_kusuri_001;talk_text	【翻訳不要】いらっしゃい！	いらっしゃい！	13	2025-04-10
talk\text\crw_shop.lxtxt	152	shop_minami_sake_001;talk_text	【翻訳不要】らっしゃい！	らっしゃい！	12	2025-04-10
talk\select\select\choice\crw_select_shop_minami_yami.lxtxt	119	select_shop_minami_yami_word01;opt	大東だ	対話	3	2025-04-09
talk\select\select\choice\crw_select_shop_minami_yami.lxtxt	119	select_shop_minami_yami_word02;opt	吉田だ	礼賛	3	2025-04-09
talk\select\select\choice\crw_select_shop_minami_yami.lxtxt	119	select_shop_minami_yami_word03;opt	氷室だ	帝国	3	2025-04-09
talk\select\select\choice\crw_select_shop_minami_yami.lxtxt	119	select_shop_minami_yami_word04;opt	高木だ	反乱	3	2025-04-09
talk\select\select\choice\crw_select_shop_minami_yami.lxtxt	119	select_shop_minami_yami_word05;opt	太田だ	幸福	3	2025-04-09
talk\select\select\choice\crw_select_shop_minami_yami.lxtxt	119	select_shop_minami_yami_word06;opt	吉岡だ	陰謀	3	2025-04-09
talk\select\select\choice\crw_select_shop_minami_yami.lxtxt	119	select_shop_minami_yami_word07;opt	沖田だ	経済	3	2025-04-09
talk\text\crw_side01.lxtxt	12	yashima_shatei_side_d01_0100_001;talk_text	おう、大東。今ちょっといいか？	おう　大東　今ちょっといいか？	15	2025-03-12
talk\text\crw_side01.lxtxt	12	yashima_shatei_side_d01_0100_002;talk_text	っち、なんだよ。	っち　なんだよ	8	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_p01_0200_001;talk_text	どうかしましたか	どうかしましたか？	9	2025-03-12
talk\text\crw_side01.lxtxt	12	yashima_shatei_side_p01_0200_001;talk_text	実は最近この辺でコソ泥が出ててな。	実は最近この辺でコソ泥が出ててな	17	2025-03-12
talk\text\crw_side01.lxtxt	12	yashima_shatei_side_p01_0200_001b;talk_text	大きな声じゃ言えんが、八島組の金も盗まれた。	大きな声じゃ言えんが　八島組の金も盗まれた	22	2025-03-12
talk\text\crw_side01.lxtxt	12	yashima_shatei_side_p01_0200_002;talk_text	"そこでお前の出番だ。

コソ泥から金を取り返してきてくれ。"	"そこでお前の出番だ

コソ泥から金を取り返してきてくれ"	29	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_p01_0200_003;talk_text	そんなん俺やなくて警官に言えばええやないですか。	そんなの俺じゃなくて警官に言えばいいじゃないですか	25	2025-03-12
talk\text\crw_side01.lxtxt	12	yashima_shatei_side_p01_0200_003;talk_text	"アホか。天下の八島組がコソ泥被害で警察に泣きついた、

なんて広まったら面目丸つぶれだろうが。"	"アホか　天下の八島組がコソ泥被害で警察に泣きついた

なんて広まったら面目丸つぶれだろうが"	47	2025-03-12
talk\text\crw_side01.lxtxt	12	yashima_shatei_side_p01_0200_003b;talk_text	"それに、まだ組の金が盗られたことは

兄貴たちもまだ知らねぇ。"	"それに　まだ組の金が盗られたことは

兄貴たちもまだ知らねぇ"	31	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_p01_0200_004;talk_text	"要はバレる前に取り返して

なかったことにしたいっちゅうわけですか。"	"要はバレる前に取り返して

なかったことにしたいっていうわけですか"	34	2025-03-12
talk\text\crw_side01.lxtxt	12	yashima_shatei_side_p01_0200_004;talk_text	話が早いな。まぁそういうことだ。	話が早いな　まぁそういうことだ	16	2025-03-12
talk\text\crw_side01.lxtxt	12	yashima_shatei_side_p01_0200_004b;talk_text	"ちゃんと金が戻ってきたらお前にも

小遣いをやるよ。"	"ちゃんと金が戻ってきたらお前にも

小遣いをやるよ"	26	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_p01_0200_005;talk_text	……分かりました。	……分かりました	9	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_p01_0200_005b;talk_text	"ほんで、その泥棒ってのはどんな背格好で

どこにおるんです？"	"それで　その泥棒ってのはどんな背格好で

どこにいるんです？"	30	2025-03-12
talk\text\crw_side01.lxtxt	12	yashima_shatei_side_p01_0200_005;talk_text	分からん。	分からん	5	2025-03-12
talk\text\crw_side01.lxtxt	12	yashima_shatei_side_p01_0200_006;talk_text	"それが分かったらとっくに捕まえてるだろ。

だからその聞き込みからお前がやるんだよ。"	"それが分かったらとっくに捕まえてるだろ

だからその聞き込みからお前がやるんだよ"	42	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_p01_0200_007;talk_text	"（組の金盗まれたくせに調べんのは面倒とか

　ええ性格しとるわ）"	"（組の金盗まれたくせに調べるのは面倒とか

　いい性格してるな）"	32	2025-03-12
talk\text\crw_side01.lxtxt	12	yashima_shatei_side_p01_0200_007;talk_text	"カフェーのマスターは噂好きだし、金持ちや

街の連中とも親しいから何か知ってるかもな。"	"カフェーのマスターは噂好きだし　金持ちや

街の連中とも親しいから何か知ってるかもな"	43	2025-03-12
talk\text\crw_side01.lxtxt	12	yashima_shatei_side_p01_0200_007b;talk_text	"んじゃ、頼んだぜ。

金取り返したら八島組まで来てくれ。"	"んじゃ　頼んだぜ

金取り返したら八島組まで来てくれ"	28	2025-03-12
talk\text\crw_side01.lxtxt	12	yashima_shatei_side_p01_0200_007c;talk_text	あ、そうだ。	あ　そうだ	6	2025-03-12
talk\text\crw_side01.lxtxt	12	yashima_shatei_side_p01_0200_008;talk_text	"そのコソ泥だけどな。金さえ戻ってくんなら

ぶっ殺したっていいぜ？　どうせクズなんだ。"	"そのコソ泥だけどな　金さえ戻ってくんなら

ぶっ殺したっていいぜ？　どうせクズなんだ"	43	2025-03-12
talk\text\crw_side01.lxtxt	12	yashima_shatei_side_p01_0200_008b;talk_text	殺した後に金を取り戻すってのも悪くねぇかもな。	殺した後に金を取り戻すってのも悪くねぇかもな	23	2025-03-12
talk\text\crw_side01.lxtxt	12	yashima_shatei_side_p01_0200_008c;talk_text	その辺はお前に任せる。じゃあな。	その辺はお前に任せる　じゃあな	16	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_p01_0300_001;talk_text	マスター、ちょっとええか？	マスター　ちょっといいか？	13	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_p01_0300_002;talk_text	"最近この辺で金持ちの家にコソ泥が出とるっちゅう話

聞いたことないか？"	"最近この辺で金持ちの家にコソ泥が出てるっていう話

聞いたことないか？"	35	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_p01_0300_003;talk_text	ホンマか……！	本当か……！	7	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_p01_0300_004;talk_text	窃盗団っちゅうことか。	窃盗団っていうことか	11	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_p01_0300_005;talk_text	"（なるほど、とはいえ組の金が盗られとるんや。

　引き下がるわけにはいかんな）"	"（なるほど　とはいえ組の金が盗られてるんだ

　引き下がるわけにはいけないな）"	39	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_p01_0300_006;talk_text	そこをなんとか！	"多少の荒事は覚悟の上だ

どうしても取り返さなきゃいけないものがあってな"	36	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_p01_0300_007;talk_text	"あんたのお眼鏡にかなったら合格っちゅうわけか。

ええやろ……"	そこをなんとか！	31	2025-03-12
talk\text\crw_side01.lxtxt	12	sakura_side_c01_0400_001;talk_text	ちょっと待ちなよ。	ちょっと待ちなよ	9	2025-03-12
talk\text\crw_side01.lxtxt	12	sakura_side_c01_0400_002;talk_text	"話は聞かせてもらったよ。

実はアタシもそのコソ泥には心当たりがあってね。"	"話は聞かせてもらったよ

実はアタシもそのコソ泥には心当たりがあってね"	37	2025-03-12
talk\text\crw_side01.lxtxt	12	sakura_side_c01_0400_002b;talk_text	"アタシの頼みを聞いてくれたら教えてあげても良いよ。

そこのマスターみたいに粗暴な話じゃないから安心しな。"	"アタシの頼みを聞いてくれたら教えてあげても良いよ

そこのマスターみたいに粗暴な話じゃないから安心しな"	53	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_c01_0400_002;talk_text	なんやその頼みって。	なんだその頼みって	10	2025-03-12
talk\text\crw_side01.lxtxt	12	sakura_side_c01_0400_003;talk_text	ちょっと薬を買いに行ってもらいたいのさ。	ちょっと薬を買いに行ってもらいたいのさ	20	2025-03-12
talk\text\crw_side01.lxtxt	12	sakura_side_c01_0400_003b;talk_text	"薬屋のオヤジはワケあってアタシには

売ってくれなくなっちまった。"	"薬屋のオヤジはワケあってアタシには

売ってくれなくなっちまった"	33	2025-03-12
talk\text\crw_side01.lxtxt	12	sakura_side_c01_0400_003c;talk_text	"だからアンタに買い出しに行ったもらおうと思ってね。

あ、金は今持ってないから立て替えといてくれ。"	"だからアンタに買い出しに行ったもらおうと思ってね

あ　金は今持ってないから立て替えといてくれ"	49	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_c01_0400_003;talk_text	"（マスターの話を聞いて厄介客を追っ払うか。

　薬に買い出しに行くか……）"	"（マスターの話を聞いて厄介客を追っ払うか

　薬の買い出しに行くか……）"	37	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_c01_0400_003b;talk_text	（時間もないしどっちかに決めた方が良さそうやな）	（時間もないしどっちかに決めた方が良さそうだな）	24	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_c01_0400_004;talk_text	分かったわ。	分かった	6	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_s01_0600_001;talk_text	ええわ。追い払うの手伝ったる。	わかった　追い払うのを手伝ってやる	17	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_s01_0700_001;talk_text	"ともに迎え撃つって、もしかしてマスターも

戦うんか？"	"ともに迎え撃つって　もしかしてマスターも

戦うのか？"	27	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_s01_0700_002;talk_text	そら、頼もしいわ。	それは　頼もしいな	9	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_c01_0800_001;talk_text	"なぁアンタ。自分で言ってて情けなくないんか？

食ったメシ代くらい払ったらどうや？"	"なぁアンタ　自分で言ってて情けなくないのか？

食ったメシ代くらい払ったらどうだ？"	41	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_c01_1000_001;talk_text	"おう、これまで飲み食いした分の金置いて

どっかいけや。アンタはもう出禁やで。"	"おう　これまで飲み食いした分の金置いて

どっかいけ　アンタはもう出禁だ"	39	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_c01_1000_002;talk_text	"まだやられ足りないってんなら相手したるわ。

俺もマスターもまだまだいけるで？"	"まだやられ足りないってんなら相手してやる

俺もマスターもまだまだいけるぞ？"	39	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_c01_1000_003;talk_text	どや？　ツケは返ってきたか？	どうだ？　ツケは返ってきたか？	15	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_c01_1000_004;talk_text	"そら良かったわ。

で、約束覚えとるよな？"	"それは良かったわ

で　約束覚えてるよな？"	21	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_c01_1000_005;talk_text	"ちゃうわ！　コソ泥がどこにおるのか

教えてくれる言うたやろ！"	"ちがう！　コソ泥がどこにいるのか

教えてくれるって言っただろ！"	32	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_s01_1100_001;talk_text	なんや、アンタも一緒にくるんか？	なんだ　アンタも一緒にくるのか？	16	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_s01_1100_002;talk_text	……大東や。	……大東だ	6	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_s01_1100_003;talk_text	おう。	おう	3	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_s01_1200_001;talk_text	"そういえばなんでマスターがコソ泥の場所知っとるんや？

警察に友達でもおるんか？"	"そういえばなんでマスターがコソ泥の場所知ってるんだ？

警察に友達でもいるのか？"	40	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_s01_1200_002;talk_text	"もっともらしいこと言っとるが

新手の宣伝したいだけやんけ。"	"もっともらしいこと言ってるが

新手の宣伝したいだけじゃないか"	31	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_s01_1300_001;talk_text	"今更やがこんな真っ昼間に泥棒なんて出るんか？

普通夜やろ。"	"今更だがこんな真っ昼間に泥棒なんて出るのか？

普通夜だろ"	30	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_s01_1300_002;talk_text	"ほう。しかしそこまで知っていて

なんでアンタの店も盗まれたんや？"	"ほう　しかしそこまで知っていて

なんでアンタの店も盗まれたんだ？"	33	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_s01_1300_003;talk_text	へぇ。まぁ連中の下調べは万全ってことか。	へぇ　まぁ連中の下調べは万全ってことか	20	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_c01_1400_001;talk_text	逃がさんで！　先手必勝や！	逃がさないぞ！　先手必勝だ！	14	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_c01_1400_002;talk_text	"そこまでや！　コソ泥！

八島組から盗んだ金、返してもらうで！"	"そこまでだ！　コソ泥！

八島組から盗んだ金　返してもらうぞ！"	31	2025-03-12
talk\text\crw_side01.lxtxt	12	thief_boss_side_c01_1400_001;talk_text	くそっ、見つかったか！	くそっ　見つかったか！	11	2025-03-12
talk\text\crw_side01.lxtxt	12	thief_boss_side_c01_1400_001b;talk_text	お前ら、手ぇ貸してくれ！	お前ら　手ぇ貸してくれ！	12	2025-03-12
talk\text\crw_side01.lxtxt	12	thief_boss_side_c01_1400_002;talk_text	"お前に恨みはないが、見られて以上生かしちゃおけねぇ。

俺達がいなくなったらこの街は終わっちまうんだ。"	"お前に恨みはないが　見られて以上生かしちゃおけねぇ

俺達がいなくなったらこの街は終わっちまうんだ"	51	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_c01_1400_003;talk_text	あ？　なに訳の分からんこと言ってんねん。	あ？　なに訳の分からないこと言ってんだ	20	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_c01_1400_003b;talk_text	盗んだ金返す気ないなら、力づくでいかせてもらうで！	盗んだ金返す気ないなら　力づくでいかせてもらう！	25	2025-03-12
talk\text\crw_side01.lxtxt	12	thief_boss_side_c01_1600_001;talk_text	くそっ、ここまでか……	くそっ　ここまでか……	11	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_c01_1600_001;talk_text	もうええやろ。大人しく盗んだ金返せや。	もういいだろ　大人しく盗んだ金を返せ	19	2025-03-12
talk\text\crw_side01.lxtxt	12	thief_boss_side_c01_1600_002b;talk_text	"それは出来ない。あの金は渡せない……

へへっ。殺すなら殺せよ。"	"それは出来ない　あの金は渡せない……

へへっ　殺すなら殺せよ"	32	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_c01_1600_002;talk_text	なんやと？	なんだと？	5	2025-03-12
talk\text\crw_side01.lxtxt	12	yashima_shatei_side_c01_1600_001;talk_text	"そのコソ泥だけどな。金さえ戻ってくんなら

ぶっ殺したっていいぜ？　どうせクズなんだ。"	"そのコソ泥だけどな　金さえ戻ってくんなら

ぶっ殺したっていいぜ？　どうせクズなんだ"	43	2025-03-12
talk\text\crw_side01.lxtxt	12	yashima_shatei_side_c01_1600_001b;talk_text	"殺した後に金を取り戻すってのも悪くねぇかもな。

その辺はお前に任せる。じゃあな。"	"殺した後に金を取り戻すってのも悪くねぇかもな

その辺はお前に任せる　じゃあな"	41	2025-03-12
talk\text\crw_side01.lxtxt	12	thief_son_side_c01_1600_001;talk_text	"ま、待ってくれ。

カシラを……　父ちゃんを殺さないでくれ！"	"ま　待ってくれ

カシラを……　父ちゃんを殺さないでくれ！"	30	2025-03-12
talk\text\crw_side01.lxtxt	12	thief_son_side_c01_1600_001b;talk_text	"父ちゃんは、この街の日の当たらねぇ人たちに

金やメシを配ってんだ。金持ちばっか肥えやがって

このくらい……　いいじゃねぇか……"	"父ちゃんは　この街の日の当たらねぇ人たちに

金やメシを配ってんだ　金持ちばっか肥えやがって

このくらい……　いいじゃねぇか……"	65	2025-03-12
talk\text\crw_side01.lxtxt	12	thief_son_side_c01_1600_001c;talk_text	"あんた、八島組って言ったな。

組から盗った金だけは返す……

だからここは見逃してくれ……"	"あんた　八島組って言ったな

組から盗った金だけは返す……

だからここは見逃してくれ……"	46	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_c01_1600_005;talk_text	……分かったわ。	……分かった	8	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_c01_1600_006;talk_text	"俺は組の金さえ返ってくればなんでもええ。

他のもんには興味ないわ。"	"俺は組の金さえ返ってくればなんでもいい

他のものには興味ない"	34	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_c01_1600_006b;talk_text	それに、盗られた方が間抜けやったのかもしれんしな。	それに　盗られた方が間抜けだったのかもしれないしな	25	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_c01_1600_007;talk_text	"だがやりすぎると、ホンマに殺されるかもしれんで。

しばらくは大人しくしといた方がええ。"	"だがやりすぎると　本当に殺されるかもしれないぞ

しばらくは大人しくしておいた方がいい"	44	2025-03-12
talk\text\crw_side01.lxtxt	12	thief_boss_side_c01_1600_004;talk_text	"す、すまねぇ……

この恩は、必ず返すぜ。"	"す　すまねぇ……

この恩は　必ず返すぜ"	21	2025-03-12
talk\text\crw_side01.lxtxt	12	thief_son_side_c01_1600_002;talk_text	"これ、八島組から盗った分です。

すんませんでした。"	"これ　八島組から盗った分です

すんませんでした"	26	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_c01_1600_008;talk_text	"さて、これで組に報告できるわ。

助かったで、マスター。"	"さて　これで組に報告できるな

助かった　マスター"	28	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_c01_1600_009;talk_text	"……妙なこと触れ込まんといてな。

あることないこと言われたらかなわんわ。"	"……妙なこと触れ込まないでくれよな

あることないこと言われたらかなわない"	37	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_c01_1600_010;talk_text	そういうのいらんねん……	そういうのいらないんだよな……	15	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_c01_1600_011;talk_text	ほな、俺は組に戻るわ。	それじゃあ　俺は組に戻る	12	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_c01_1600_012;talk_text	（さて、八島組に報告しに行こか）	（さて　八島組に報告しに行こう）	16	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_c01_1600_013;talk_text	……そんなん、信じるわけないやろ。	……そんなの　信じるわけないだろ	17	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_c01_1600_014;talk_text	"義賊やったとしてもれっきとした悪党や。

そんなヤツの言葉いちい鵜呑みにしとったら

いつか自分がやられてまう。"	"義賊だったとしてもれっきとした悪党だ

そんなヤツの言葉いちいち鵜呑みにしてたら

いつか自分がやられてしまう"	56	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_c01_1600_014b;talk_text	"この世界は甘いヤツから死んでいく。

悪く思わんといてや。"	"この世界は甘いヤツから死んでいく

悪く思わないでくれ"	29	2025-03-12
talk\text\crw_side01.lxtxt	12	thief_son_side_c01_1600_004;talk_text	よくも……　よくも、父ちゃんを……！	よくも……　よくも　父ちゃんを……！	18	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_c01_1600_015;talk_text	"この街で悪さをした報いや。

今日はこのカシラだけで勘弁したる。"	"この街で悪さをした報いだ

今日はこのカシラだけで勘弁してやる"	32	2025-03-12
talk\text\crw_side01.lxtxt	12	thief_son_side_c01_1600_006;talk_text	"……お前の顔、絶対に忘れねぇ……

父ちゃんの仇、絶対に取ってやるからな……"	"……お前の顔　絶対に忘れねぇ……

父ちゃんの仇　絶対に取ってやるからな……"	38	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_c01_1600_016;talk_text	"自分のやったことは責任をとらなあかん。

正義かどうかなんて、てめぇの物差しでしかないんや。"	"自分のやったことは責任をとらなきゃいけない

正義かどうかなんて　てめぇの物差しでしかないんだ"	47	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_c01_1600_017;talk_text	……あぁ。	……あぁ	5	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_c01_1600_018;talk_text	ほな、俺は組に戻るわ。	それじゃあ　俺は組に戻る	12	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_c01_1600_019;talk_text	（……八島組に報告しに行こ）	（……八島組に報告しに行こう）	15	2025-03-12
talk\text\crw_side01.lxtxt	12	sakura_side_d01_1700_001;talk_text	あら、薬の買い出しに行って来てくれるのかい？	あら　薬の買い出しに行って来てくれるのかい？	22	2025-03-12
talk\text\crw_side01.lxtxt	12	daito_side_s01_1800_001;talk_text	その薬、俺が買うてきたるわ。	その薬　俺が買ってきてやるよ	14	2025-03-12
talk\text\crw_side01.lxtxt	12	sakura_side_s01_1800_001;talk_text	"ありがとう、助かるよ。

アタシはサクラ。よろしくね。"	"ありがとう　助かるよ

アタシはサクラ　よろしくね"	27	2025-03-12
talk\text\crw_side01.lxtxt	12	sakura_side_s01_1800_002;talk_text	じゃあついてきて。	じゃあついてきて	9	2025-03-12
talk\text\crw_side01.lxtxt	12	sakura_side_s01_1900_002;talk_text	ちょっと、レディを待たせる気？	ちょっと　レディを待たせる気？	15	2025-03-12
talk\text\crw_side01.lxtxt	12	sakura_side_s01_1900_003;talk_text	ほら、いくわよ。	ほら　いくわよ	8	2025-03-12
talk\text\crw_side01.lxtxt	12	sakura_side_s01_1900_004;talk_text	"そ。アタシら遊女はこの辺で身を寄せ合って

暮らしてるのさ。"	"そ　アタシら遊女はこの辺で身を寄せ合って

暮らしてるのさ"	30	2025-03-12
talk\text\crw_side01.lxtxt	12	sakura_side_s01_1900_004b;talk_text	"元気なうちは気ままに生きれて良いんだけど、

病気には勝てないんだよね。"	"元気なうちは気ままに生きれて良いんだけど

病気には勝てないんだよね"	36	2025-03-12
